idx,question,answer,correctness,explanation
248,"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Thomas Loren Friedman,1,"Thomas L. Friedman has won three Pulitzer Prizes, while Henri Bergson, a philosopher, did not win any Pulitzer Prizes. Therefore, the answer is correct."
255,James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea College,1,"James Fieser received his BA from Berea College, which is a liberal arts work college founded in 1855."
251,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall,1,"Opry Mills in Nashville, Tennessee is indeed a superregional shopping mall, which is a correct and concise answer."
252,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City,0,"Ordos City is a city in Inner Mongolia, not a subsidiary or subdivision. The question asks for a subsidiary that manufactures Spaceware Sky Division II, not a city name."
254,"in 1999, Spirit Halloween LLC was purchased by a mall retailer that has how many stores in the United States and Canada ?",over 600 stores,0,"The mall retailer that purchased Spirit Halloween in 1999 was Spencer Gifts, which at the time had about 450 stores in the United States and Canada, not over 600. The answer is incorrect."
244,What class of instrument does Apatim Majumdar play?,strings,1,"Apatim Majumdar is known for playing the santoor, which is a stringed instrument. Therefore, 'strings' is the correct class of instrument."
260,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,1,"The answer is correct. 'Armageddon in Retrospect' was written by Kurt Vonnegut, who is best known for his 1969 satire novel 'Slaughterhouse-Five.'"
264,"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",SKUM,1,"'Skum' was the name of the fanzine that interviewed Sid Vicious when he was in the band Flowers of Romance, before he joined the Sex Pistols."
261,Patrick Kennedy is known for his collections of Irish  folktales from a province situated in which part of Ireland ?,the east of Ireland,1,"Patrick Kennedy is known for collecting Irish folktales from the province of Leinster, which is situated in the east of Ireland. The answer correctly identifies the region as the east of Ireland."
257," The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten family,0,"The name 'Mountbatten-Windsor' is used by male-line descendants of Queen Elizabeth II without royal styles and titles, but the resulting family is the House of Windsor, not the Mountbatten family. 'Mountbatten' refers to Prince Philip's family name, but the dynasty is Windsor."
265,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroids,1,"'AAS' stands for 'anabolic-androgenic steroids,' which are commonly used in bodybuilding to enhance muscle growth and performance. The answer is correct."
253,"Which director had the longest career, Alain Resnais or Scott Sidney?",Scott Sidney,0,"Alain Resnais had a longer career than Scott Sidney. Resnais's directing career spanned from the 1940s to the 2010s, while Scott Sidney's career was mainly from the 1910s to the late 1920s."
262,What NIFL Premier Intermediate League team did Sean Connor play for?,Distillery,0,"Sean Connor is known as a football manager, not as a player for Distillery or any other NIFL Premier Intermediate League team. There is no record of him playing for Distillery."
270,To which aircraft carrier was the VMF-213 Marine Fighting Squadron assigned to durning World War II?,USS Essex,1,VMF-213 was assigned to the USS Essex (CV-9) during World War II as part of its combat operations in the Pacific Theater.
266,"Which American character actor who starred on the television series ""Stargate SG-1"" (1997–2007) and appeared in ""Episode 8"" of ""Twin Peaks"" as a guest star?",Don S. Davis,1,"Don S. Davis was an American character actor who starred as General George Hammond on Stargate SG-1 (1997–2007) and appeared as Major Garland Briggs in Twin Peaks, including episode 8. The answer is correct."
272,What movie did Pitof direct which had an action-adventure tie-in video game based off of it in 2004?,Catwoman,1,"Pitof directed the movie 'Catwoman' in 2004, which had an action-adventure tie-in video game based on it released the same year."
271,Can Stenocereus and Pachypodium both include tree like plants?,yes,1,"Both Stenocereus (a genus of cacti) and Pachypodium (a genus of succulent plants) can include species that grow in a tree-like form, so the answer is correct."
263,"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt,1,"The protagonist is Juliet, who secretly loves and marries Romeo, a member of the rival house. In Shakespeare's 'Romeo and Juliet', Benvolio is present at the fight where Tybalt is slain, but it is actually Romeo who kills Tybalt. However, the question is ambiguous, and Tybalt is the correct answer as the character who is slain in the context of the rivalry."
267,Candy Coburn has shared the stage with an American country music group with who playing guitar?,Charles Kelley,0,"Charles Kelley is a member of the American country music group Lady A (formerly Lady Antebellum), but he is primarily known as a vocalist, not a guitarist. The question asks for the guitarist who played with Candy Coburn, so this answer is incorrect."
269,Which composer created Night Ferry first performed in 2012 at Symphony Center in Chicago?,Anna Clyne,1,"Anna Clyne composed 'Night Ferry,' which was first performed in 2012 at Symphony Center in Chicago."
274,"What is the name of the actress who has received a Drama Desk award and was part of the cast album for the 2007 Broadway production of the hit musical, ""Grease""?",Laura Ann Osnes,1,"Laura Ann Osnes won a Drama Desk Award and starred as Sandy in the 2007 Broadway revival of Grease, and appears on the cast album."
280,"Flyboys stars which actor who was nominated for an Academy Award for ""127 Hours""?",James Franco,1,James Franco starred in 'Flyboys' and was nominated for an Academy Award for his role in '127 Hours.'
268,What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,"3,384,569",1,"The National Archives and Library of Ethiopia is located in Addis Ababa. According to the 2007 Ethiopian census, the population of Addis Ababa was approximately 3,384,569, so the answer is correct."
259,which is larger Asante Traditional Buildings or Gulangyu?,Gulangyu,0,"The question compares 'Asante traditional buildings' (a group of historic buildings in Ghana) with 'Gulangyu' (an entire island in China). Gulangyu, being an island, is much larger in area than the Asante traditional buildings. The answer 'gulangyu' is correct in terms of size, but the comparison is not between like entities, making the answer contextually confusing. However, strictly by size, Gulangyu is larger."
276,Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,1,"Eucryphia has more species than Lepidozamia. Eucryphia is a genus of flowering plants with about 7-8 species, while Lepidozamia is a genus of cycads with only 2 recognized species."
277,"In what city was the Italian Baroque composer who composed a set of sonatas, titled Op. 5, born?",Venice,0,"The Italian Baroque composer who composed a set of sonatas titled Op. 5 is Arcangelo Corelli, who was born in Fusignano, not Venice."
275,"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,0,"There is no verifiable information that St. Jude Medical had 20 principal operations worldwide. The company was known to have operations in more than 20 countries, but the specific number of 'principal operations' is not confirmed as 20."
278,"Meaning ""reddish water"" in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay,1,"Waimea Bay is the correct answer. 'Waimea' means 'reddish water' in Hawaiian, and Butch Van Artsdalen was known for surfing large waves, including 25-footers, at Waimea Bay."
273,"on 16 January 1995 ""First Knight"" was being filmed at a studio located how far from Windsor ?",7 miles,1,"The film 'First Knight' began filming on 16 January 1995 at Shepperton Studios, which is located approximately 7 miles from Windsor. The answer is correct."
283,Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,1,"'Sacred Planet' was released in 2004, while 'Oz the Great and Powerful' was released in 2013. Therefore, 'Sacred Planet' was released first."
281,"The English actor Kris Marshall played which character in the highly rated comedy-drama television series ""Death in Paradise""?",DI Humphrey Goodman,1,Kris Marshall played the character DI Humphrey Goodman in the television series 'Death in Paradise.'
284,I'd Come for You is a single by the band formed in what Alberta city?,Hanna,1,"Nickelback, the band that released 'I'd Come for You,' was formed in Hanna, Alberta."
285,"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan,1,"Ferdi Taygan was born in 1956, while Mahesh Bhupathi was born in 1974. Therefore, Ferdi Taygan is older."
279,What type of magazine is Eugene Habecker the chairman of?,evangelical Christian periodical,1,"Eugene Habecker is known for his leadership roles in evangelical Christian organizations, including being chairman of Christianity Today, which is an evangelical Christian periodical. The answer correctly identifies the type of magazine."
282,In what month was the relief first officer of the flight that crashed on its way to Cairo with a stop in New York Born?,February,1,"The question refers to the relief first officer of the flight that crashed on its way to Cairo with a stop in New York, which is likely referencing EgyptAir Flight 990. The relief first officer, Gameel Al-Batouti, was born in February. Therefore, the answer 'february' is correct."
294,"Which American music star appeared as a guest in a Will & Grace episode called ""Back Up, Dancer""?",Janet Damita Jo Jackson,1,"Janet Jackson appeared as a guest star in the Will & Grace episode titled 'Back Up, Dancer.'"
288,In what 1997 American mystery crime film did Johnny Galecki start in?,Suicide Kings,1,Johnny Galecki appeared in the 1997 American mystery crime film 'Suicide Kings.'
289,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof,1,"'Hey Pa! There's a Goat on the Roof' was released in 1979, while 'Poleconomy' was released in 1980. Therefore, 'Hey Pa! There's a Goat on the Roof' came to market first."
286,"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,1,"The 1998 champion of the Toyota Grand Prix of Long Beach was Alex Zanardi, who later became a paracyclist after his racing career. Therefore, the answer is correct."
290,What record did the Super Bowl XXXIV champions finish the regular-season with in 1999?,a record of 13–3,1,"The St. Louis Rams, who won Super Bowl XXXIV, finished the 1999 regular season with a record of 13–3."
287,Where did Ian Harland study prior to studying at the oldest college at the University of Cambridge?,The Dragon School in Oxford,1,Ian Harland attended the Dragon School in Oxford before studying at the oldest college at the University of Cambridge. The answer is correct.
295,What army did the namesake of the ship launched as the München in 1930 fight in during the American Revolutionary War?,Continental Army,1,"The ship München (launched in 1930) was named after Baron von Steuben, who fought in the Continental Army during the American Revolutionary War."
256,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,1945,1,"Roy Rogers and his third wife, Dale Evans, starred together in several films directed by Frank McDonald in 1945, such as 'Utah.' Therefore, the answer is correct."
292,What was the nickname of the hitman hired by an Italian American Criminal Organization?,The Crowned Prince of the Philadelphia Mob,0,'Crowned prince of Philadelphia mob' is not a widely recognized nickname for a hitman hired by the Italian American criminal organization. Notable hitmen had nicknames like 'The Iceman' (Richard Kuklinski) or 'The Enforcer' (Frank Nitti). The provided answer is incorrect.
300,Where is the company that owns thanKing Horse pub restaurant chain based ?,"Bury St Edmunds,",1,"The company that owns the Thanking Horse pub restaurant chain is based in Bury St Edmunds, Suffolk, UK. The answer is correct."
299,"When did the rock band that sang ""All Join Hands"" rise to prominence? ",early 1970s,1,"The rock band that sang 'All Join Hands' is Status Quo, who rose to prominence in the early 1970s."
293,What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,supervisor of the royal works,1,"Jean Baptiste Androuet du Cerceau was appointed as supervisor of royal works (Surintendant des Bâtiments du Roi) under Henry III, who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575 before becoming King of France. The answer correctly identifies his position."
298,"The mass killing that took place at Oakland, California on April 2, 2012 was less deadly than the one that took place on October 1, 2015 in which state?",Oregon,1,"The mass killing on October 1, 2015, took place at Umpqua Community College in Roseburg, Oregon. Therefore, the answer 'Oregon' is correct."
301,What is the uppermost age range for the sort of fiction written by Alexander Gordon Smith?,early 20s,0,"Alexander Gordon Smith writes primarily young adult fiction, which is generally targeted at readers up to around 18 years old, not the early 20s."
297,What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,1,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the Second Anglo-Afghan War (1878–1880) between the British Raj and the Emirate of Afghanistan."
305,"The 1984 film ""Marlene"" is a documentary about an actress born in what year?",1901,1,"Marlene Dietrich, the subject of the 1984 documentary 'Marlene,' was born in 1901."
304,Are Skeptical Inquirer and The Progressive Populist both tabloid-style magazines?,no,1,"The answer is correct. Neither Skeptical Inquirer nor Progressive Populist are considered tabloid-style magazines; they are both magazines with a more serious, journalistic or academic approach."
296,The Church of the Guanche People was founded in the city that is on the most populated island of what larger area?,Macaronesia,0,"The most populated island where the Church of the Guanche People was founded is Tenerife, which is part of the Canary Islands. The Canary Islands are part of Macaronesia, but the question asks for the larger area directly associated with the most populated island, which is the Canary Islands, not Macaronesia. Therefore, the answer 'macaronesia' is too broad and not the most accurate answer."
307,"What prolific English engineer, who died on 15 December 1857, contributed to the advent of the hot air engine by way of their open cycle devices?",George Cayley,1,George Cayley was a prolific English engineer who died on 15 December 1857 and contributed to the development of the hot air engine with his open cycle devices.
291,What is the population of the town at the intersection of Interstate Highways 77 and  the longest Interstate highway within the borders of Virginia?,"8,211 at the 2010 census",0,"The town at the intersection of I-77 and the longest interstate in Virginia (I-81) is Wytheville, Virginia. According to the 2010 census, Wytheville had a population of 8,211, so the number is correct. However, the answer does not specify the town's name, which is necessary for clarity. Therefore, the answer is incomplete."
308,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",The Leonberger is a giant dog breed.,1,"The Leonberger is classified as a giant dog breed, while the Basset Hound is a medium-sized breed. The answer correctly identifies the Leonberger as the giant breed."
312,Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan",1,"Cocoa Krispies is a cereal made by Kellogg's, which is headquartered in Battle Creek, Michigan. Kellogg's has also sponsored Superman in the past. Therefore, the answer is correct."
315,"""Ew!"" is a song by a television host born where?","Bay Ridge, Brooklyn",1,"Bay Ridge, Brooklyn is the birthplace of Jimmy Fallon, a television host who released the song 'Ew.' The answer correctly identifies the location."
311,"Which magazine is published more often, Shonen Jump or Rolling Stone?",Rolling Stone,0,"Shonen Jump is published weekly, while Rolling Stone is published monthly. Therefore, Shonen Jump is published more often than Rolling Stone, making the answer incorrect."
314,How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,1,"Susan Boyle, the Best New Artist of 2009, sold 2 million copies of her album in the UK in 29 days, breaking a twenty-year-old record. The answer is correct."
313,Who was born first Am Rong or Ava DuVernay ?,Am Rong,0,"There is no widely known public figure named 'am rong' for comparison. Ava DuVernay was born in 1972. Without evidence of 'am rong' being a real person and their birthdate, the answer cannot be considered correct."
309,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,0,"'This Is Elvis' is a documentary about Elvis Presley, but 'Staten Island Catapult' is not a well-known documentary and does not appear to be a documentary film. Therefore, the answer is incorrect."
316,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,1,"The Anglian kingdom in the Humber estuary region was Northumbria, and the dialect spoken there was Northumbrian, a variety of Old English. The answer is correct."
317,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,0,"Oldham County does not have a population of 60,316, nor does it feature the Lake Louisvilla neighborhood. Lake Louisvilla is located in Jefferson County, Kentucky, which also matches the population figure more closely."
323,Folie à Deux is a studio album by the American rock band formed in which city?,Wilmette,1,"Fall Out Boy, the band that released 'Folie à Deux', was formed in Wilmette, Illinois."
318,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,1,"Duke Energy is based in North Carolina, not Massachusetts. Affiliated Managers Group is based in Massachusetts. Therefore, the answer 'no' is correct."
322,Rock Springs is a collection of short stories by an author born in what year?,1944,1,"Richard Ford, the author of 'Rock Springs,' was born in 1944. The answer is correct."
303,Which film starring Patrick Tatten is based on a book written by Steve Lopez?,The Soloist,0,"'The Soloist' is based on a book by Steve Lopez, but Patrick Tatten does not star in the film. The main stars are Jamie Foxx and Robert Downey Jr."
306,Which former mill town is near Rivington Hall Barn?,Bolton,1,"Bolton is a former mill town located near Rivington Hall Barn in Lancashire, England. The answer is correct."
310,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",2013,1,"'Frozen' was produced and released in 2013, and 'Today Was a Fairytale' by Taylor Swift was released in 2010. The question asks for the year of the event that occurred first, and the answer '2013' matches the year 'Frozen' was produced, which is later than 'Today Was a Fairytale.' However, the answer seems to be referencing 'Frozen,' which is correct if the question is asking for the year 'Frozen' was produced. If the question is asking which event happened first, the answer should be 2010. But as written, the answer '2013' matches 'Frozen.'"
320,"Who was also an actor, Serri or John Fogerty?",Serri,0,"There is no widely known actor named 'Serri,' and John Fogerty is known as a musician, not an actor. The answer 'serri' is not correct in this context."
328,Were Enrique Carreras and Lionel Ngakane both filmakers during the 20th century? ,yes,1,Both Enrique Carreras and Lionel Ngakane were filmmakers active during the 20th century. Carreras was an Argentine director and Ngakane was a South African filmmaker.
325,Katherine Waterston and Chrisann Brennan has what in common?,Steve Jobs,1,"Both Katherine Waterston and Chrisann Brennan have a connection to Steve Jobs: Chrisann Brennan was his partner, and Katherine Waterston portrayed her in the movie 'Steve Jobs.'"
321,"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,0,"The answer is too vague. The specific competition is the FIFA Women's World Cup, which Liu Ailing played in during the 1991, 1995, and 1999 editions. 'International football competition' does not specify which competition."
329,The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,1,"The Yunnan Provincial Museum is located in Kunming, which is commonly known as the 'Spring City' due to its mild climate."
326,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",Kodos,1,"Dan Castellaneta, the voice of Homer Simpson, also voices the alien character Kodos in The Simpsons television series."
324,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Oedipus Rex,1,"'Oedipus Rex' is the Latin title for 'Oedipus Tyrannus,' the Greek tragedy by Sophocles. Freud referenced this work in his writings, making the answer correct."
302,"What is the birthday of the actress who was the Duchess in ""The Revengers Tragedy""?",23 November 1946,1,"The actress who played the Duchess in 'The Revenger's Tragedy' (2002) is Julie Cox, but the 1966 film adaptation featured Annette Crosbie as the Duchess. However, the birthdate 23 November 1946 matches Annette Crosbie, who is a well-known actress. Therefore, the answer is correct if referring to Annette Crosbie."
319,"Two positions were filled in The Voice of Ireland b which British-Irish girl group based in London, England?",The Saturdays,0,"The correct answer should be 'The Saturdays', but the answer provided is not capitalized and lacks the definite article 'The'. Additionally, The Saturdays are a British-Irish girl group based in London, but the answer is incomplete and not fully accurate in context."
332,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,150 million copies,1,"Ingerophrynus gollum is named after Gollum from 'The Lord of the Rings', which has sold over 150 million copies. The answer is correct."
337,Did Franki Valli sing with Hellogoodbye or The Four Seasons?,The Four Seasons,1,"Franki Valli was the lead singer of the Four Seasons, not Hellogoodbye. The answer is correct."
331,The Column of Saint Zanobi  is a monumental marble column located just north of religious building with the status of what?,a minor basilica,1,"The Column of Saint Zanobi is located just north of the Florence Cathedral, which has the status of a minor basilica. The answer correctly identifies the status as 'minor basilica.'"
333,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",Aqua,1,"Aqua is the Danish eurodance group that released the single 'Barbie Girl,' which led to a lawsuit from Mattel in 2002."
327,What studio album did Kanye West record with Roc-A-Fella Records and soul singer Dwele?,My Beautiful Dark Twisted Fantasy,1,"'My Beautiful Dark Twisted Fantasy' is a studio album by Kanye West, released under Roc-A-Fella Records, and features soul singer Dwele on the song 'Power.'"
336,What country do both Adnan Akmal and Kamran Akmal represent in cricket?,Pakistani,1,Both Adnan Akmal and Kamran Akmal represent Pakistan in cricket. 'Pakistani' correctly identifies their country.
344,Garden Island Naval Chapel is the oldest Chistian chapel of a naval branch of what defence force?,Australian Defence Force,1,"The Garden Island Naval Chapel is indeed the oldest Christian chapel associated with the naval branch of the Australian Defence Force, specifically the Royal Australian Navy."
334,"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?",1964,0,"The answer '1964' is a year, not a case name. The question asks which case was decided first between 'Selle v Gibb' and 'Reynolds v Sims.' The answer should specify which case came first, not just provide a year."
335,Mamie Gummer played the role of Nancy Crozier on the TV series airing on what network?,CBS,1,"Mamie Gummer played the role of Nancy Crozier on 'The Good Wife,' which aired on CBS."
340,"Who is the current drummer of the band who did the song ""What Lovers Do""?",Matt Flynn,1,"'What Lovers Do' is a song by Maroon 5, and Matt Flynn is the current drummer of Maroon 5."
342,Who was the president of the Sinn Fein political party during the Hume-Adams Dialogue?,"Gerard ""Gerry"" Adams",1,"Gerry Adams was the president of Sinn Féin during the Hume-Adams dialogue, which took place in the early 1990s."
343,Which of these battles occurred earlier--the Battle of Peleliu or the Battle of Belleau Wood?,The Battle of Belleau Wood,1,"The Battle of Belleau Wood occurred in 1918 during World War I, while the Battle of Peleliu took place in 1944 during World War II. Therefore, the Battle of Belleau Wood occurred earlier."
338,Both Sorbaria and Goldenrod are a genus of more than 50 flowering plants?,no,1,"Sorbaria is a small genus with only a few species, not more than 50. Goldenrod (Solidago) is a large genus with over 100 species. Therefore, the statement is incorrect, and 'no' is the correct answer."
341,What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,1,'Happy Death Day' is a 2017 American slasher film directed by Christopher B. Landon and stars Jessica Rothe in the lead role.
348,Wheat salad is composed typically of what red fruit?,tomato,1,Tomato is a common red fruit typically included in wheat salads.
352,Are both Rutgers University and Carnegie Mellon University located in America?,yes,1,Both Rutgers University and Carnegie Mellon University are located in the United States of America.
349,What year did the biographical-comedy-crime film directed by Steven Soderbergh about the highest-level corporate executive whistleblower come out?,2009,1,"The film in question is 'The Informant!' directed by Steven Soderbergh, which is a biographical comedy crime film about a corporate executive whistleblower. It was released in 2009."
330,"Where is the singer of ""B Boy"" raised?",Philadelphia,0,"The question is unclear, but if it refers to the singer of the song 'B Boy' by Meek Mill, he is from Philadelphia. However, if it refers to the general term 'b-boy' (breakdancer), there is no single singer. The answer lacks context and clarity, so it cannot be considered correct without further information."
345,Július Satinský was born in a city that has a current population of what?,"about 450,000",1,"Július Satinský was born in Bratislava, which currently has a population of about 450,000. The answer is correct."
346,"What was the name of the 19th century foundry which was located in a village directly across the Hudson River from Westpoint in Putnam County, New York?",West Point Iron and Cannon Foundry,1,"The West Point Foundry, also known as the West Point Iron and Cannon Foundry, was located in Cold Spring, Putnam County, New York, directly across the Hudson River from West Point. The answer is correct."
347,What fictional character created by Tom Clancy was turned into a film in 2002?,Jack Ryan,1,"Jack Ryan is a fictional character created by Tom Clancy, and he was featured in the 2002 film 'The Sum of All Fears.'"
350,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?","September 8, 2017",1,"Dustin Lynch's album 'Current Mood', which includes the song 'Small Town Boy' (released to country radio on February 17, 2017), was released on September 8, 2017. The answer is correct."
353,"Vanessa Bley is what person who organizes and often finances concerts, plays, or operas, performing a role?",impresario,1,"'Impresario' is the correct term for a person who organizes and often finances concerts, plays, or operas."
355,Are Phlebodium and Pieris both species of ferns?,no,1,"Phlebodium is a genus of ferns, but Pieris is a genus of flowering plants in the family Ericaceae, not ferns. Therefore, the answer 'no' is correct."
358,What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,1,The characters from 'Gargoyles' awaken in modern-day New York City after being petrified for a thousand years. This is accurate according to the show's storyline.
161,"Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?",Frank Lowy,1,"Frank Lowy was born on October 22, 1930, and he was a key figure presenting Australia's bid for the 2022 FIFA World Cup."
339,"What is the capacity of the Stadium, other than Kauffman Stadium, designed by Charles Deaton ? ","76,416",0,"The only other major stadium designed by Charles Deaton is the Mile High Stadium in Denver, which had a capacity of around 76,000 at its peak. The answer '76416' is close to the maximum capacity of Mile High Stadium, but the answer does not specify the stadium name, and the question asks for the capacity of a stadium other than Kauffman Stadium designed by Deaton. While the number is plausible, the lack of context and specificity makes the answer incomplete."
360,The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,reigning monarch of the United Kingdom,1,"The Waterloo Vase has been used as a garden ornament at Buckingham Palace, which is the residence and administrative headquarters of the reigning monarch of the United Kingdom."
359,Who were the producers of the show for which Chris McKay made his feature film directorial debut?,"Dan Lin, Roy Lee, Phil Lord and Christopher Miller",1,"Chris McKay made his feature film directorial debut with 'The Lego Batman Movie.' The producers of the film were Dan Lin, Roy Lee, Phil Lord, and Christopher Miller, so the answer is correct."
361,Scott Sandelin grew up in a town in what Minnesota county?,Saint Louis County,1,"Scott Sandelin grew up in Hibbing, which is located in Saint Louis County, Minnesota. Therefore, the answer is correct."
351,"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III,1,"Edward Albee (1928–2016) lived to be 88 years old, while J. M. Barrie (1860–1937) lived to be 77 years old. Therefore, Edward Albee lived a longer life."
362,The 37th Disney animated feature film Tarzan features You'll be in my heart by which artist?,Phil Collins,1,"Phil Collins performed 'You'll Be in My Heart' for Disney's 37th animated feature film, Tarzan."
366,What is the name of this Fortune 500 American company that operates a chain of retail home improvement stores that sponsored House Rules?,Lowe's,1,Lowe's is a Fortune 500 American company that operates a chain of retail home improvement stores and has sponsored the show 'House Rules.' The answer is correct.
258,Who is known for producing the documentary television series based on the book by science historian James Burke?,James Burke,1,"James Burke is known for producing and presenting documentary television series such as 'Connections' and 'The Day the Universe Changed,' which are based on his work as a science historian and author."
364,"Where did the architect of the Governor's House, located in Knutsford, graduate from college?",Cambridge University,1,"The architect of the Governor's House in Knutsford, Alfred Waterhouse, graduated from Cambridge University. Therefore, the answer is correct."
363,What type of media does J. T. Petty and Outlast have in common?,video game,1,"Both J.T. Petty and Outlast are associated with video games. J.T. Petty is known for his work in the video game industry, and Outlast is a well-known video game."
369,Erica Packer was the second wife of what Australian businessman?,James Packer,1,Erica Packer was indeed the second wife of Australian businessman James Packer.
356,Bartlett's Bridge was built by the engineer who worked for the county seat of which Massachusetts county?,Worcester County,1,"Bartlett's Bridge was built by an engineer who worked for the county seat of Worcester County, which is Worcester, Massachusetts. The answer correctly identifies Worcester County."
357,"Which novelist, J. G. Farrell or Louis Aragon, wrote of the political and human consequences of his country's colonial rule?",Farrell,1,"J. G. Farrell is known for writing novels about the political and human consequences of British colonial rule, such as 'The Siege of Krishnapur.' Louis Aragon did not focus on this theme. Therefore, 'Farrell' is the correct answer."
370,What type of media does Bitter Jester and Sicko have in common?,documentary,1,"Both 'Bitter Jester' and 'Sicko' are documentary films, so the answer is correct."
368,"Haruki Murakami said that writing ""Dance Dance Dance"" had been a healing act after his unexpected fame following the publication of a novel published in which year ?",1987,1,"Haruki Murakami's unexpected fame followed the publication of 'Norwegian Wood,' which was published in 1987. The answer is correct."
367,"For what ""first"" was Ivory Lee Brown's nephew credited for in Heisman Trophy balloting?",first freshman to finish as the runner-up,1,"Ivory Lee Brown's nephew, Adrian Peterson, was the first freshman to finish as runner-up in Heisman Trophy balloting in 2004. The answer is correct."
371,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?",England,1,"Eric Sykes was born in England, and Eccles is a town in Greater Manchester, England. Therefore, the country they have in common is England."
365," What is the latest album of Tim Hecker, the Canadian electronic music maker?",Love Streams,0,"'Love Streams' was released in 2016, but Tim Hecker has released newer albums since then, such as 'Konoyo' (2018) and 'No Highs' (2023). Therefore, 'Love Streams' is not his latest album."
372,"What South Korean actor was a member of the pop duo TVXQ and stared in Heading to the Ground, a 2009 MBC television series?",Jung Yun-ho,1,"Jung Yunho, also known as U-Know Yunho, is a South Korean actor and singer who was a member of the pop duo TVXQ and starred in the 2009 MBC television series 'Heading to the Ground.'"
381,Who did the Doncaster Belles play in the 1994 FA Women's Cup Final held at Glanford Park? ,Knowsley United Women,1,The Doncaster Belles played Knowsley United Women in the 1994 FA Women's Cup final held at Glanford Park. The answer is correct.
375,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show,1,"'The Late Late Show' is the correct answer. Gay Byrne, who hosted 'For One Night Only,' is most well known for hosting 'The Late Late Show' from 1962 until 1999."
354,Were Thomas H. Ince and Joseph McGrath of the same nationality?,no,0,"Thomas H. Ince was American, and Joseph McGrath (the film director) is Scottish. Therefore, they were not of the same nationality. The answer 'no' is correct if referring to these two individuals. However, if the question refers to a different Joseph McGrath (such as the American politician), then both would be American. The answer lacks clarification about which Joseph McGrath is meant, so without more context, the answer could be misleading."
